126,626
128,605
156,585
200,619
213,646
234,631
225,619
232,602
254,594
240,574
204,640
257,666
272,629
300,626
324,628
324,613
297,602
113,550
134,566
175,558
125,506
152,508
160,506
122,483
89,484
65,504
43,504
55,459
103,447
148,453
153,466
145,474
182,474
196,451
222,477
234,483
233,517
221,524
266,518
232,461
180,434
191,425
154,417
111,412
92,398
59,358
85,326
65,315
125,315
116,278
136,277
145,279
178,326
180,301
195,285
181,277
232,328
197,350
186,359
121,248
102,233
106,201
160,172
176,208
165,213
164,223
170,244
162,250
207,199
225,263
251,240
242,201
273,264
310,229
300,204
310,260
262,292
297,289
270,329
247,329
304,313
297,306
287,301
260,366
247,369
233,380
200,384
196,380
223,397
254,395
272,379
271,375
277,379
291,354
234,423
264,418
268,423
266,442
263,448
305,437
323,429
331,418
315,440
326,432
293,480
312,484
336,469
359,466
364,446
368,467
400,464
391,460
258,552
289,533
316,547
336,538
326,519
355,515
313,584
344,591
401,619
402,669
489,583
445,567
405,549
398,557
376,553
456,556
496,550
417,521
445,503
479,522
465,480
505,502
510,487
510,447
548,465
478,455
461,442
411,430
411,441
503,452
512,403
422,373
463,343
482,359
498,379
527,360
532,362
544,361
356,431
337,396
335,385
347,371
361,377
358,350
386,353
344,353
395,334
364,326
360,308
334,293
392,228
344,231
297,175
305,161
376,157
411,164
421,320
454,291
488,290
