68,307
41,358
66,365
53,383
56,395
51,439
63,466
80,435
89,428
96,432
98,422
115,450
121,456
53,479
35,528
70,552
50,602
87,534
110,530
116,541
129,565
151,591
130,536
122,521
137,510
151,513
138,540
164,607
173,639
181,656
197,631
193,683
199,693
169,707
167,699
180,716
149,713
175,744
214,735
241,733
248,736
233,761
120,692
171,579
186,593
181,602
202,585
209,567
184,554
218,577
224,584
229,600
232,608
243,603
235,624
260,590
269,610
263,610
242,580
234,579
269,659
295,646
307,640
297,624
295,668
270,681
295,680
315,665
291,696
326,695
339,696
351,708
361,751
305,747
372,735
397,702
406,739
424,743
440,680
428,678
470,698
458,639
464,631
458,615
417,625
409,654
389,661
396,640
389,608
347,614
358,606
358,597
483,629
497,607
505,616
526,660
540,607
535,594
531,574
434,573
424,595
396,565
370,563
359,561
423,544
479,534
469,528
458,519
473,506
412,513
418,495
404,489
370,502
373,498
366,491
352,507
343,536
348,552
342,558
338,532
318,540
304,537
303,516
288,545
281,565
266,551
263,568
261,523
234,523
237,506
281,496
283,505
292,482
314,491
302,453
286,440
309,446
321,425
303,408
290,403
281,421
260,458
261,428
252,437
240,442
217,442
245,484
228,487
223,472
226,520
206,534
214,531
203,508
191,497
193,504
179,502
189,482
167,454
181,433
142,474
145,484
203,417
160,407
148,404
139,391
130,389
117,395
107,386
131,365
169,356
157,358
189,394
182,397
179,402
178,409
218,400
235,413
229,391
245,397
241,366
194,371
197,379
186,370
202,354
91,357
126,331
114,321
174,315
192,295
200,294
169,297
160,280
134,293
211,338
229,336
233,321
236,314
284,316
290,336
281,359
273,361
154,381
159,237
195,236
192,228
186,250
220,220
201,209
237,217
234,239
235,262
246,287
252,274
249,264
269,235
262,190
266,199
265,228
285,196
277,179
315,248
306,239
316,262
314,271
350,333
356,331
322,374
317,359
342,452
342,436
332,420
341,403
358,437
368,396
386,422
383,386
374,378
404,399
394,421
402,418
413,421
344,474
399,465
397,457
408,466
519,522
558,517
579,536
559,493
542,465
516,489
509,471
522,453
516,443
488,435
487,405
434,389
482,356
488,365
494,351
456,345
428,340
442,330
398,337
418,347
446,299
471,289
488,279
475,266
476,276
522,300
542,358
481,238
383,253
337,653
338,671
298,611
309,608
325,589
165,308
232,653
232,712
118,501
